itemid,hotelid,user_1,user_2,user_3,user_4,user_5
1,31,0.739940073,0.680009255,0.726273039,0.717108788,0.797381532
2,31,0.754593775,0.693476093,0.74065608,0.731310341,0.777817459
3,31,0.792118034,0.696310624,0.742392339,0.740740741,0.78247589
4,31,0.840840992,0.620878016,0.665750286,0.717108788,0.797381532
5,31,0.595854023,0.402911482,0.412393049,0.5143445,0.56694671
6,31,0.595854023,0.402911482,0.412393049,0.5143445,0.56694671
7,31,0.595854023,0.402911482,0.412393049,0.5143445,0.56694671
8,31,0.595854023,0.402911482,0.412393049,0.5143445,0.56694671
9,31,0.595854023,0.402911482,0.412393049,0.5143445,0.56694671
10,31,0.306785996,0.202259959,0.207019668,0.25819889,0.237170825
11,1429,0.643119694,0.489955935,0.501485887,0.673575314,0.618718434
12,1429,0.568796459,0.363636364,0.372193684,0.522232968,0.533001791
13,1429,0.61993042,0.506024314,0.517932397,0.645975193,0.547722558
14,1429,0.595854023,0.523784927,0.536110964,0.66864785,0.56694671
15,1429,0.641688948,0.523784927,0.536110964,0.66864785,0.56694671
16,1429,0.306785996,0.202259959,0.207019668,0.25819889,0.237170825
17,1429,0.306785996,0.202259959,0.207019668,0.25819889,0.237170825
18,1520,0.687184271,0.533001791,0.545544726,0.725774739,0.75
19,1520,0.595854023,0.44320263,0.453632354,0.6172134,0.661437828
20,1520,0.665512265,0.548454318,0.561360891,0.700140042,0.600245048
21,2243,VISITED,0.709574875,0.726273039,0.830336492,0.797381532
22,2243,VISITED,0.587957294,0.601793477,0.794719414,0.77055175
23,2243,VISITED,0.351763235,0.36004115,0.513200239,0.530330086
24,2243,VISITED,0.639602149,0.654653671,0.816496581,0.708333333
25,2243,VISITED,0.246182982,0.251976315,0.314269681,0.288675135
26,2243,VISITED,0.246182982,0.251976315,0.314269681,0.288675135
27,2243,VISITED,0.246182982,0.251976315,0.314269681,0.288675135
28,2243,VISITED,0.246182982,0.251976315,0.314269681,0.288675135
29,2243,VISITED,0.246182982,0.251976315,0.314269681,0.288675135
30,2243,VISITED,0.246182982,0.251976315,0.314269681,0.288675135
31,2243,VISITED,0.246182982,0.251976315,0.314269681,0.288675135
32,2243,VISITED,0.202259959,0.207019668,0.25819889,0.237170825
33,2243,VISITED,0.202259959,0.207019668,0.25819889,0.237170825
34,2243,VISITED,0.202259959,0.207019668,0.25819889,0.237170825
35,3321,0.595854023,0.483493778,0.494871659,0.6172134,0.614192269
36,3321,0.595854023,0.483493778,0.494871659,0.6172134,0.614192269
37,3321,0.45732956,0.351763235,0.36004115,0.449050209,0.530330086
38,3698,0.606339063,0.604068696,0.618284022,0.635052896,0.666666667
39,3698,0.643119694,0.603022689,0.6172134,0.673575314,0.662912607
40,5211,0.800853435,0.703989469,0.748269894,0.69130113,0.762000762
41,5211,0.782780364,0.688102353,0.732467021,0.702728369,0.774596669
42,7181,0.594088526,0.478713554,0.489978944,0.555555556,0.612372436
43,7181,0.388922234,0.284901441,0.291605922,0.363696484,0.334076552
44,7453,0.711057129,0.62505411,0.639763278,VISITED,0.694365075
45,7453,0.646761667,0.568535244,0.581914374,VISITED,0.666666667
46,7453,0.646761667,0.568535244,0.581914374,VISITED,0.666666667
47,7453,0.623917748,0.548454318,0.561360891,VISITED,0.643119694
48,8306,0.62951158,0.587957294,0.601793477,0.662266179,0.68944104
49,8306,0.646761667,0.568535244,0.581914374,0.680413817,0.666666667
50,8306,0.643119694,0.527644853,0.540061725,0.673575314,0.662912607
51,8306,0.643119694,0.527644853,0.540061725,0.673575314,0.662912607
52,8306,0.606339063,0.568535244,0.581914374,0.635052896,0.666666667
53,8306,0.582323232,0.548454318,0.561360891,0.606788036,0.643119694
54,8306,0.542326145,0.381385036,0.390360029,0.486864496,0.503115295
55,8306,0.306785996,0.202259959,0.207019668,0.25819889,0.237170825
56,8306,0.306785996,0.202259959,0.207019668,0.25819889,0.237170825
57,48822,0.777844468,0.712253603,0.729014804,0.727392967,0.70156076
58,48822,0.754593775,0.723627227,0.74065608,0.731310341,0.707106781
59,48822,0.735147044,0.738548946,0.755928946,0.707106781,0.685603445
60,48822,0.735147044,0.738548946,0.755928946,0.707106781,0.685603445
61,48822,0.453742606,0.341881729,0.349927106,0.43643578,0.400891863
62,48822,0.306785996,0.202259959,0.207019668,0.25819889,0.237170825
63,63490,0.643119694,0.603022689,0.6172134,0.673575314,0.618718434
64,63490,0.595854023,0.564076075,0.577350269,0.6172134,0.56694671
65,63490,0.306785996,0.202259959,0.207019668,0.25819889,0.237170825
66,70123,0.69026849,0.606779876,0.621059003,0.645497224,0.632455532
67,70123,0.69026849,0.606779876,0.621059003,0.645497224,0.632455532
68,70123,0.69026849,0.606779876,0.621059003,0.645497224,0.632455532
69,70123,0.306785996,0.269679945,0.276026224,0.344265186,0.316227766
70,70133,VISITED,0.650443636,0.696011663,0.717108788,0.658706483
71,70133,VISITED,0.660129344,0.707838397,0.722315119,0.700349292
72,70133,VISITED,0.660129344,0.707838397,0.722315119,0.700349292
73,70133,VISITED,0.640489869,0.690065559,0.645497224,0.671984003
74,70133,VISITED,0.640489869,0.690065559,0.645497224,0.671984003
75,70133,VISITED,0.568535244,0.618284022,0.725774739,0.708333333
76,70133,VISITED,0.585017939,0.63620901,0.700140042,0.685994341
77,70157,0.773573713,0.650443636,0.635488909,0.717108788,0.728044008
78,70157,0.685994341,0.565333771,0.578637562,0.625462792,0.618718434
79,70157,0.664211164,0.583874208,0.597614305,0.596284794,0.593366104
80,70157,0.623917748,0.511890697,0.486512773,0.653464039,0.685994341
81,70993,0.805161048,0.6770032,0.692934867,VISITED,VISITED
82,70993,0.805161048,0.707776073,0.724431907,VISITED,VISITED
83,70993,0.84016805,0.707776073,0.724431907,VISITED,VISITED
84,70993,0.84016805,0.707776073,0.724431907,VISITED,VISITED
85,70993,0.822478321,0.691564075,0.707838397,VISITED,VISITED
86,70993,0.514495755,0.402015126,0.4114756,VISITED,VISITED
87,70993,0.804399667,0.707106781,0.723746864,VISITED,VISITED
88,70993,0.306785996,0.202259959,0.207019668,VISITED,VISITED
89,70993,0.306785996,0.202259959,0.207019668,VISITED,VISITED
90,71282,0.71519854,0.660129344,0.675663925,0.722315119,0.700349292
91,71282,0.694708803,0.642824347,0.657951695,0.738548946,0.716089443
92,71282,0.694708803,0.642824347,0.657951695,0.738548946,0.716089443
93,71282,0.694708803,0.642824347,0.657951695,0.738548946,0.716089443
94,71282,0.67363307,0.62505411,0.639763278,0.755928946,0.694365075
95,72911,0.412514324,0.402911482,0.412393049,0.4114756,0.425210032
96,72911,0.750958467,0.660129344,0.675663925,0.722315119,0.700349292
97,72911,0.750958467,0.660129344,0.675663925,0.722315119,0.700349292
98,72911,0.750958467,0.660129344,0.675663925,0.722315119,0.700349292
99,72911,0.731272424,0.674965564,0.69084928,0.738548946,0.678400525
100,72911,0.487088187,0.428174419,0.43825049,0.447213595,0.456435465
101,72911,0.487088187,0.467099366,0.478091444,0.447213595,0.456435465
102,72911,0.668856054,0.622543017,0.637193093,0.706417257,0.608330329
103,74799,0.726108198,0.696310624,0.683000952,0.740740741,0.714434508
