itemid,hotelname,hotelid,roomtype_tokens_str,amenity_vector
322,Hotel Regitnig,166965,chalet,"{'hair dryer', 'alarm clock', 'closet', 'separate dining area', 'kitchenware', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'towels', 'tv [flat screen]', 'telephone', 'cleaning products', 'linens', 'sofa', 'mirror', 'air conditioning', 'bathrobes', 'private entrance', 'full kitchen', 'smoke detector', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'washing machine', 'woodenparqueted flooring', 'clothes dryer', 'dishwasher', 'free wi-fi in all rooms'}"
323,Hotel Regitnig,166965,double,"{'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'whirlpool bathtub', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
324,Hotel Regitnig,166965,single,"{'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'tv [flat screen]', 'telephone', 'linens', 'sofa', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
325,Hotel Regitnig,166965,double,"{'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'tv [flat screen]', 'telephone', 'linens', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
326,Hotel Regitnig,166965,family,"{'hair dryer', 'alarm clock', 'closet', 'safebox', 'wake-up service', 'towels', 'tv [flat screen]', 'telephone', 'linens', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
327,Hotel Zum Verwalter Dornbirn,167007,double,"{'safebox', 'seating area', 'coffeetea maker', 'hair dryer', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'free bottled water', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
328,Hotel Zum Verwalter Dornbirn,167007,double,"{'safebox', 'coffeetea maker', 'hair dryer', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'free bottled water', 'linens', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
329,Hotel Zum Verwalter Dornbirn,167007,single,"{'safebox', 'coffeetea maker', 'hair dryer', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'free bottled water', 'linens', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
330,Stadthotel Scharding,167010,double,"{'safebox', 'telephone', 'toiletries', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
331,Stadthotel Scharding,167010,double,"{'safebox', 'telephone', 'toiletries', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
332,Stadthotel Scharding,167010,triple,"{'safebox', 'toiletries', 'tv [flat screen]', 'air conditioning', 'free wi-fi in all rooms'}"
333,Walliserhof,167012,suite,"{'hair dryer', 'closet', 'additional bathroom', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'dvdcd player', 'telephone', 'linens', 'satellitecable', 'mirror', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
334,Walliserhof,167012,suite,"{'hair dryer', 'closet', 'additional bathroom', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'dvdcd player', 'telephone', 'linens', 'satellitecable', 'mirror', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
335,Walliserhof,167012,suite,"{'hair dryer', 'closet', 'additional bathroom', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'dvdcd player', 'telephone', 'linens', 'satellitecable', 'mirror', 'air conditioning', 'bathrobes', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
336,Walliserhof,167012,double,"{'safebox', 'smoke detector', 'carpeting', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'towels', 'free bottled water', 'linens', 'satellitecable', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
337,Walliserhof,167012,family,"{'safebox', 'smoke detector', 'carpeting', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'towels', 'free bottled water', 'linens', 'satellitecable', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
338,Walliserhof,167012,double,"{'safebox', 'smoke detector', 'carpeting', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'towels', 'free bottled water', 'linens', 'satellitecable', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
339,Walliserhof,167012,double,"{'safebox', 'smoke detector', 'carpeting', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'towels', 'free bottled water', 'linens', 'satellitecable', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
340,Walliserhof,167012,double,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'towels', 'free bottled water', 'linens', 'dvdcd player', 'mirror', 'satellitecable', 'shower', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
341,Walliserhof,167012,double,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'towels', 'free bottled water', 'linens', 'dvdcd player', 'mirror', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
342,Hotel Serles,168137,double,"{'safebox', 'smoke detector', 'carpeting', 'seating area', 'telephone', 'hair dryer', 'wake-up service', 'heating', 'alarm clock', 'towels', 'linens', 'tv [flat screen]', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'interconnecting rooms'}"
343,Hotel Serles,168137,double,"{'safebox', 'smoke detector', 'carpeting', 'seating area', 'telephone', 'hair dryer', 'wake-up service', 'heating', 'alarm clock', 'towels', 'linens', 'tv [flat screen]', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'interconnecting rooms'}"
344,Hotel Serles,168137,double,"{'safebox', 'smoke detector', 'carpeting', 'seating area', 'telephone', 'hair dryer', 'wake-up service', 'heating', 'alarm clock', 'towels', 'linens', 'tv [flat screen]', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes', 'interconnecting rooms'}"
345,Gasthof Zum Stollhofer,169959,quadruple,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
346,Gasthof Zum Stollhofer,169959,double,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
347,Gasthof Zum Stollhofer,169959,single,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
348,Gasthof Zum Stollhofer,169959,triple,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
349,Gasthof Zum Stollhofer,169959,double,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
350,Gasthof Zum Stollhofer,169959,family,"{'safebox', 'telephone', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
351,Pension Zum Romer,171656,double,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'separate dining area', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
352,Pension Zum Romer,171656,single,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'toiletries', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'separate dining area', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
