itemid,hotelname,hotelid,roomtype_tokens_str,amenity_vector
1,The Harmonie Vienna  BW Premier Collection,31,double,"{'hair dryer', 'alarm clock', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'daily newspaper', 'trouser press', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'on-demand movies', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
2,The Harmonie Vienna  BW Premier Collection,31,double,"{'hair dryer', 'alarm clock', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'daily newspaper', 'trouser press', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
3,The Harmonie Vienna  BW Premier Collection,31,double,"{'hair dryer', 'alarm clock', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'ironing facilities', 'linens', 'sofa', 'satellitecable', 'mirror', 'trouser press', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'on-demand movies', 'seating area', 'toiletries', 'heating', 'shower', 'free wi-fi in all rooms', 'soundproofing'}"
4,The Harmonie Vienna  BW Premier Collection,31,suite,"{'hair dryer', 'slippers', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'blackout curtains', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'dart board', 'bathrobes', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'shower', 'free wi-fi in all rooms'}"
5,The Harmonie Vienna  BW Premier Collection,31,double,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
6,The Harmonie Vienna  BW Premier Collection,31,single,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
7,The Harmonie Vienna  BW Premier Collection,31,house,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
8,The Harmonie Vienna  BW Premier Collection,31,double,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
9,The Harmonie Vienna  BW Premier Collection,31,single,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
10,The Harmonie Vienna  BW Premier Collection,31,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
11,Hotel Villa Carlton,1429,double,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'free bottled water', 'satellitecable', 'ipod docking station', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
12,Hotel Villa Carlton,1429,house,"{'safebox', 'hair dryer', 'toiletries', 'free bottled water', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
13,Hotel Villa Carlton,1429,suite,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'free bottled water', 'satellitecable', 'shower', 'ipod docking station', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
14,Hotel Villa Carlton,1429,double,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'free bottled water', 'satellitecable', 'ipod docking station', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
15,Hotel Villa Carlton,1429,double,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'free bottled water', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
16,Hotel Villa Carlton,1429,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
17,Hotel Villa Carlton,1429,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
18,Hotel IMLAUER & Brau,1520,double,"{'dart board', 'safebox', 'smoke detector', 'telephone', 'wake-up service', 'coffeetea maker', 'hair dryer', 'heating', 'toiletries', 'closet', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
19,Hotel IMLAUER & Brau,1520,family,"{'safebox', 'telephone', 'coffeetea maker', 'hair dryer', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping', 'soundproofing'}"
20,Hotel IMLAUER & Brau,1520,family,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'coffeetea maker', 'hair dryer', 'heating', 'toiletries', 'closet', 'minibar', 'tv [flat screen]', 'sofa', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'soundproofing'}"
21,Austria Trend Hotel Europa Graz,2243,executive,"{'carpeting', 'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
22,Austria Trend Hotel Europa Graz,2243,single,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'blackout curtains', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
23,Austria Trend Hotel Europa Graz,2243,house,"{'safebox', 'hair dryer', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
24,Austria Trend Hotel Europa Graz,2243,triple,"{'safebox', 'smoke detector', 'carpeting', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'minibar', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'soundproofing'}"
25,Austria Trend Hotel Europa Graz,2243,business,"{'safebox', 'free wi-fi in all rooms', 'shower', 'tv', 'air conditioning', 'telephone'}"
26,Austria Trend Hotel Europa Graz,2243,double,"{'safebox', 'free wi-fi in all rooms', 'shower', 'tv', 'air conditioning', 'telephone'}"
27,Austria Trend Hotel Europa Graz,2243,single,"{'safebox', 'free wi-fi in all rooms', 'shower', 'tv', 'air conditioning', 'telephone'}"
28,Austria Trend Hotel Europa Graz,2243,single,"{'safebox', 'free wi-fi in all rooms', 'shower', 'tv', 'air conditioning', 'telephone'}"
29,Austria Trend Hotel Europa Graz,2243,executive,"{'safebox', 'free wi-fi in all rooms', 'shower', 'tv', 'air conditioning', 'telephone'}"
30,Austria Trend Hotel Europa Graz,2243,executive,"{'safebox', 'free wi-fi in all rooms', 'shower', 'tv', 'air conditioning', 'telephone'}"
31,Austria Trend Hotel Europa Graz,2243,triple,"{'safebox', 'free wi-fi in all rooms', 'shower', 'tv', 'air conditioning', 'telephone'}"
32,Austria Trend Hotel Europa Graz,2243,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
33,Austria Trend Hotel Europa Graz,2243,executive,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
34,Austria Trend Hotel Europa Graz,2243,single,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
35,Altstadt Hotel Hofwirt Salzburg,3321,double,"{'safebox', 'telephone', 'hair dryer', 'heating', 'woodenparqueted flooring', 'towels', 'daily housekeeping', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'fan'}"
36,Altstadt Hotel Hofwirt Salzburg,3321,double,"{'safebox', 'telephone', 'hair dryer', 'heating', 'woodenparqueted flooring', 'towels', 'daily housekeeping', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'fan'}"
37,Altstadt Hotel Hofwirt Salzburg,3321,single,"{'safebox', 'telephone', 'hair dryer', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
38,Hotel Alpha Wien,3698,single,"{'safebox', 'ironing facilities', 'on-demand movies', 'seating area', 'telephone', 'cleaning products', 'clothes rack', 'hair dryer', 'alarm clock', 'heating', 'closet', 'toiletries', 'wake-up service', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
39,Hotel Alpha Wien,3698,double,"{'safebox', 'ironing facilities', 'telephone', 'seating area', 'wake-up service', 'cleaning products', 'clothes rack', 'hair dryer', 'heating', 'toiletries', 'closet', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
40,Mercure Wien Zentrum Hotel,5211,privilege,"{'carpeting', 'hair dryer', 'slippers', 'alarm clock', 'closet', 'video game console', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'towels', 'minibar', 'free bottled water', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'daily newspaper', 'desk', 'air conditioning', 'bathrobes', 'daily housekeeping', 'smoke detector', 'on-demand movies', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms'}"
41,Mercure Wien Zentrum Hotel,5211,double,"{'carpeting', 'hair dryer', 'alarm clock', 'closet', 'video game console', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'towels', 'minibar', 'free bottled water', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'daily newspaper', 'desk', 'air conditioning', 'bathrobes', 'daily housekeeping', 'smoke detector', 'on-demand movies', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms'}"
42,Daniel Graz,7181,smart,"{'safebox', 'telephone', 'seating area', 'hair dryer', 'towels', 'linens', 'satellitecable', 'mirror', 'air conditioning', 'free wi-fi in all rooms', 'daily housekeeping', 'soundproofing'}"
43,Daniel Graz,7181,suite,"{'safebox', 'towels', 'linens', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
44,Altstadthotel Kasererbraeu,7453,suite,"{'hair dryer', 'closet', 'sewing kit', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'shoeshine kit', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan'}"
45,Altstadthotel Kasererbraeu,7453,double,"{'sewing kit', 'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'minibar', 'linens', 'satellitecable', 'shoeshine kit', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'fan'}"
46,Altstadthotel Kasererbraeu,7453,double,"{'sewing kit', 'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'minibar', 'linens', 'satellitecable', 'shoeshine kit', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'fan'}"
47,Altstadthotel Kasererbraeu,7453,single,"{'sewing kit', 'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'linens', 'satellitecable', 'shoeshine kit', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'fan'}"
48,Novum Hotel Prinz Eugen Wien,8306,triple,"{'hair dryer', 'alarm clock', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'minibar', 'telephone', 'blackout curtains', 'satellitecable', 'trouser press', 'desk', 'air conditioning', 'daily housekeeping', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
49,Novum Hotel Prinz Eugen Wien,8306,double,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'coffeetea maker', 'hair dryer', 'heating', 'alarm clock', 'refrigerator', 'toiletries', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
50,Novum Hotel Prinz Eugen Wien,8306,double,"{'safebox', 'telephone', 'seating area', 'coffeetea maker', 'hair dryer', 'heating', 'alarm clock', 'toiletries', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
51,Novum Hotel Prinz Eugen Wien,8306,single,"{'safebox', 'telephone', 'seating area', 'coffeetea maker', 'hair dryer', 'heating', 'alarm clock', 'toiletries', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
52,Novum Hotel Prinz Eugen Wien,8306,double,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'refrigerator', 'heating', 'alarm clock', 'toiletries', 'minibar', 'satellitecable', 'trouser press', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
53,Novum Hotel Prinz Eugen Wien,8306,single,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'refrigerator', 'heating', 'alarm clock', 'toiletries', 'minibar', 'satellitecable', 'trouser press', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
54,Novum Hotel Prinz Eugen Wien,8306,house,"{'safebox', 'telephone', 'hair dryer', 'toiletries', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'daily housekeeping'}"
55,Novum Hotel Prinz Eugen Wien,8306,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
56,Novum Hotel Prinz Eugen Wien,8306,twin,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
57,Ibis Styles Linz,48822,family,"{'hair dryer', 'closet', 'separate dining area', 'ipod docking station', 'kitchenware', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'telephone', 'blackout curtains', 'ironing facilities', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'daily housekeeping', 'smoke detector', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'fan'}"
58,Ibis Styles Linz,48822,twin,"{'hair dryer', 'closet', 'separate dining area', 'kitchenware', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'telephone', 'blackout curtains', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'fan'}"
59,Ibis Styles Linz,48822,double,"{'hair dryer', 'closet', 'separate dining area', 'kitchenware', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'fan'}"
60,Ibis Styles Linz,48822,double,"{'hair dryer', 'closet', 'separate dining area', 'kitchenware', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'fan'}"
61,Ibis Styles Linz,48822,single,"{'safebox', 'hair dryer', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
62,Ibis Styles Linz,48822,triple,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
63,Falkensteiner Hotel Wien Zentrum Schottenfeld,63490,suite,"{'private entrance', 'safebox', 'telephone', 'wake-up service', 'coffeetea maker', 'clothes rack', 'hair dryer', 'heating', 'toiletries', 'towels', 'minibar', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
64,Falkensteiner Hotel Wien Zentrum Schottenfeld,63490,double,"{'private entrance', 'safebox', 'telephone', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'toiletries', 'towels', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
65,Falkensteiner Hotel Wien Zentrum Schottenfeld,63490,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
66,Hotel Haydn,70123,double,"{'hair dryer', 'closet', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'minibar', 'dvdcd player', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'private entrance', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms'}"
67,Hotel Haydn,70123,single,"{'hair dryer', 'closet', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'minibar', 'dvdcd player', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'private entrance', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms'}"
68,Hotel Haydn,70123,triple,"{'hair dryer', 'closet', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'minibar', 'dvdcd player', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'private entrance', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms'}"
69,Hotel Haydn,70123,double,"{'safebox', 'minibar', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
70,Hotel Amadeus,70133,suite,"{'hair dryer', 'slippers', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'dvdcd player', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'whirlpool bathtub', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
71,Hotel Amadeus,70133,suite,"{'hair dryer', 'slippers', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
72,Hotel Amadeus,70133,triple,"{'hair dryer', 'slippers', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
73,Hotel Amadeus,70133,double,"{'hair dryer', 'slippers', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
74,Hotel Amadeus,70133,twin,"{'hair dryer', 'slippers', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
75,Hotel Amadeus,70133,double,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'toiletries', 'closet', 'towels', 'minibar', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'laptop safe box', 'soundproofing'}"
76,Hotel Amadeus,70133,twin,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'toiletries', 'closet', 'towels', 'minibar', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'laptop safe box', 'soundproofing'}"
77,Augarten Art Hotel,70157,standard,"{'hair dryer', 'bathroom phone', 'slippers', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'blackout curtains', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'dart board', 'bathrobes', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'interconnecting rooms', 'soundproofing'}"
78,Augarten Art Hotel,70157,single,"{'safebox', 'smoke detector', 'telephone', 'hair dryer', 'toiletries', 'closet', 'towels', 'minibar', 'linens', 'satellitecable', 'mirror', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
79,Augarten Art Hotel,70157,superior,"{'safebox', 'smoke detector', 'hair dryer', 'slippers', 'toiletries', 'closet', 'towels', 'minibar', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'bathrobes'}"
80,Augarten Art Hotel,70157,standard,"{'safebox', 'smoke detector', 'telephone', 'hair dryer', 'interconnecting rooms', 'toiletries', 'towels', 'blackout curtains', 'minibar', 'linens', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping', 'soundproofing'}"
81,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,family,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'additional toilet', 'linens', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
82,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,double,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'ironing facilities', 'additional toilet', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
83,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,double,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
84,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,double,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
85,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,double,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'linens', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
86,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,double,"{'safebox', 'telephone', 'coffeetea maker', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains'}"
87,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,business,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'ironing facilities', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
88,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
89,Star Inn Hotel Salzburg Airport-Messe  by Comfort,70993,suite,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
90,Berg-Spa & Hotel Zamangspitze,71282,triple,"{'hair dryer', 'slippers', 'alarm clock', 'closet', 'fireplace', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'smoke detector', 'on-demand movies', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
91,Berg-Spa & Hotel Zamangspitze,71282,quadruple,"{'hair dryer', 'alarm clock', 'closet', 'fireplace', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'smoke detector', 'on-demand movies', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
92,Berg-Spa & Hotel Zamangspitze,71282,double,"{'hair dryer', 'alarm clock', 'closet', 'fireplace', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'smoke detector', 'on-demand movies', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
93,Berg-Spa & Hotel Zamangspitze,71282,double,"{'hair dryer', 'alarm clock', 'closet', 'fireplace', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'smoke detector', 'on-demand movies', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
94,Berg-Spa & Hotel Zamangspitze,71282,single,"{'hair dryer', 'alarm clock', 'closet', 'fireplace', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'on-demand movies', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
95,Familiengasthof Maier,72911,single,"{'private entrance', 'safebox', 'smoke detector', 'wake-up service', 'cleaning products', 'hair dryer', 'woodenparqueted flooring', 'additional toilet', 'carbon monoxide detector', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms', 'soundproofing'}"
